user,numCardsCorrect,numCardsIncorrect,firstCardsFlipped,firstPairsCorrect,isFirstStreak,firstStreak,pairsSolvedByEnd,cardsSeenButNeverSolved,numImagesCorrect,numImagesIncorrect,imagesSeen,correctImagesFirstSeen,incorrectImagesFirstSeen,correctImagesByEnd,n-points,age,gender,ethnicity,politicalParty,educationLevel,maritalStatus,children,country,state,gamingFrequency,futureOutlook,firstCardsFlipped_year,firstStreak_year,pairsSolvedByEnd_year,correctImagesFirstSeen_year,correctImagesByEnd_year
jz_1743965766,5,12,"['80computer', '80computer']",1980,False,['80computer'],"['80computer', '90computer', '10phone', '00car', '70car']","['10car', '90car', '90vg', '10computer', '00computer', '90vg', '90vg', '10computer', '80car', '10car', '10computer', '80car', '80car', '00phone', '70vg']",20,0,"['00_computer', '70_phone', '00_vg', '00_computer', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '10_phone', '90_vg', '70_phone', '10_vg', '10_phone', '80_car', '00_vg', '70_car', '00_phone', '00_computer']","['00_computer', '70_phone', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '90_vg', '10_vg', '70_car', '00_phone']",[],"['00_computer', '70_phone', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '90_vg', '10_vg', '70_car', '00_phone']",17,29,female,asian,democrat,advanced-degree,no,0,us,fl,every-week,very-good,1980,1980,1990,1990,1990
Ferdinand Magellan_1743967233,4,5,"['70phone', '70car']",1970,False,[],"['70phone', '80computer', '90car', '00phone']","['70car', '70computer', '80car', '70car', '90phone', '80vg', '70car', '00vg']",22,2,"['80_phone', '00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '10_car', '10_phone', '00_car', '80_car', '90_car', '10_car', '10_car', '10_vg', '80_phone', '70_vg', '00_phone', '00_car', '90_phone', '80_car', '90_vg', '10_computer']","['00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '00_car', '80_car', '10_vg', '00_phone', '10_computer']","['80_phone', '90_phone']","['00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '00_car', '80_car', '10_vg', '80_phone', '00_phone', '10_computer']",9,28,male,white,other,bs,no,0,USA,NY,every-month,neutral,1970,0,1985,1995.83333333333,1994.61538461538
As_1743968380,0,5,"['70vg', '80computer']",,False,[],[],"['70vg', '80computer', '80vg', '70phone', '70phone', '80car', '90vg', '90phone', '90computer', '00vg']",0,0,[],[],[],[],0,,,,,,,,,,,,1975,0,0,0,0
Jon_1743971632,0,9,"['90vg', '70vg']",,False,[],[],"['90vg', '70vg', '90computer', '80car', '70computer', '80computer', '90phone', '80computer', '70computer', '70phone', '70phone', '90car', '00vg', '90car', '00car', '90computer', '80phone', '70vg']",15,1,"['70_computer', '70_vg', '10_vg', '80_phone', '70_vg', '10_car', '90_computer', '90_computer', '80_phone', '70_vg', '80_phone', '80_car', '90_car', '80_computer', '70_vg', '80_vg']","['70_computer', '70_vg', '10_vg', '80_phone', '10_car', '90_computer', '80_car', '80_computer', '80_vg']",['90_car'],"['70_computer', '70_vg', '10_vg', '80_phone', '10_car', '90_computer', '80_car', '80_computer', '80_vg']",19,29,male,white,democrat,bs,no,0,United States ,PA,every-week,neutral,1980,0,0,1985.55555555556,1985.55555555556
Colin_1743985257,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
lx_1744031660,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
k_1744039030,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
f_1744042381,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Deb_1744054594,4,10,"['10phone', '00computer']",2000,False,[],"['00vg', '10car', '90computer', '90phone']","['10phone', '00computer', '90vg', '80phone', '70vg', '00phone', '00phone', '80phone', '70phone', '00computer', '70phone', '90vg', '80phone', '90vg']",0,0,[],[],[],[],0,,,,,,,,,,,,2005,0,1997.5,0,0
charanu_1744055614,1,2,"['00phone', '70car']",1990,False,[],['90computer'],"['00phone', '70car', '10vg', '00vg']",17,2,"['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '90_computer', '70_computer', '90_computer', '00_car', '80_vg', '70_car', '70_car', '10_car', '00_vg', '00_phone']","['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '70_computer', '70_car', '10_car']",['00_car'],"['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '70_computer', '70_car', '10_car']",13,27,female,asian,other,bs,yes,0,United States,CA,never,very-good,1985,0,1990,1986.66666666667,1986.66666666667
hj_1744064174,1,14,"['00vg', '70phone']",2010,False,[],['10phone'],"['00vg', '70phone', '80vg', '80vg', '00phone', '80phone', '90car', '00phone', '90phone', '00phone', '70car', '70vg', '00vg', '70car', '90vg', '80computer', '80computer', '80phone', '70computer', '80phone', '80phone', '90vg', '80computer', '00vg', '70car', '90phone']",21,4,"['80_car', '10_computer', '00_car', '90_phone', '10_phone', '80_phone', '10_car', '10_phone', '80_car', '90_computer', '10_vg', '70_vg', '90_vg', '00_computer', '70_vg', '00_vg', '80_vg', '70_car', '80_phone', '10_vg', '90_computer', '90_phone', '10_car', '70_car', '90_vg']","['80_car', '10_computer', '00_car', '90_phone', '80_phone', '10_car', '90_computer', '90_vg', '00_computer', '00_vg', '70_car']","['10_phone', '10_vg', '70_vg', '80_vg']","['80_car', '10_computer', '00_car', '90_phone', '80_phone', '10_car', '10_phone', '90_computer', '90_vg', '00_computer', '70_vg', '00_vg', '70_car', '10_vg']",27,26,male,asian,other,advanced-degree,no,0,USA,Utah,every-week,neutral,1985,0,2010,1992.72727272727,1993.57142857143
sammi_1744069543,3,5,"['00vg', '00vg']",2000,False,"['00vg', '70phone']","['00vg', '70phone', '80car']","['70computer', '10car', '70car', '70vg', '70car', '70computer', '10car', '80phone', '00phone']",16,1,"['90_vg', '70_vg', '80_car', '80_computer', '80_vg', '70_computer', '80_vg', '90_car', '90_car', '10_car', '70_vg', '70_phone', '90_vg', '90_computer', '80_vg', '90_computer', '80_computer']","['90_vg', '70_vg', '80_car', '80_computer', '80_vg', '70_computer', '90_car', '10_car', '70_phone', '90_computer']",[],"['90_vg', '70_vg', '80_car', '80_computer', '80_vg', '70_computer', '90_car', '10_car', '70_phone', '90_computer']",20,24,female,white,libertarian,high-school,no,0,United States,FL,every-month,neutral,2000,1985,1983.33333333333,1983,1983
Boof_1744069956,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Ethel_1744070120,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Mel_1744070456,2,5,"['90phone', '70phone']",1970,False,[],"['70car', '10phone']","['90phone', '70phone', '70phone', '70vg', '90vg', '10vg', '80car']",15,1,"['00_computer', '70_car', '00_car', '00_vg', '10_computer', '70_vg', '70_phone', '70_phone', '70_phone', '90_computer', '70_phone', '00_car', '90_car', '70_computer', '90_phone', '80_vg']","['70_car', '00_car', '00_vg', '10_computer', '70_vg', '70_phone', '90_computer', '90_car', '70_computer', '90_phone', '80_vg']",['00_computer'],"['70_car', '00_car', '00_vg', '10_computer', '70_vg', '70_phone', '90_computer', '90_car', '70_computer', '90_phone', '80_vg']",0,24,female,hispanic,democrat,bs,no,0,Spain,Valencia,every-day,bad,1980,0,1990,1985.45454545455,1985.45454545455
Mo_1744071151,2,13,"['70phone', '70phone']",1970,False,['70phone'],"['70phone', '90car']","['00phone', '90phone', '10car', '10computer', '10phone', '80car', '90vg', '80computer', '80vg', '70vg', '00computer', '00phone', '80vg', '10phone', '90phone', '70computer', '80computer', '10computer', '80car', '00vg', '70computer', '80vg', '90vg', '80vg', '10phone', '90vg']",0,0,[],[],[],[],0,,,,,,,,,,,,1970,1970,1980,0,0
ali_1744071325,2,5,"['10vg', '10vg']",2010,False,"['10vg', '80phone']","['10vg', '80phone']","['10car', '70car', '80vg', '10computer', '00vg', '80computer', '80computer', '80vg', '80computer', '10phone']",0,0,[],[],[],[],0,,,,,,,,,,,,2010,1995,1995,0,0
lele_1744071408,3,2,"['70car', '70car']",1970,False,"['70car', '10car', '70vg']","['70car', '10car', '70vg']","['70computer', '10vg', '10computer', '70computer']",0,0,[],[],[],[],0,,,,,,,,,,,,1970,1983.33333333333,1983.33333333333,0,0
star_1744071489,4,3,"['80vg', '80vg']",1980,False,"['80vg', '00vg', '80car', '70phone']","['80vg', '00vg', '80car', '70phone']","['70vg', '90computer', '90vg', '90computer', '00car', '90car']",16,6,"['10_phone', '10_computer', '00_car', '90_phone', '10_computer', '90_phone', '80_computer', '10_car', '10_vg', '00_car', '70_vg', '80_vg', '00_phone', '00_vg', '70_phone', '80_computer', '80_car', '00_computer', '70_vg', '90_vg', '00_vg', '80_car']","['10_phone', '10_computer', '90_phone', '10_car', '10_vg', '00_phone', '00_vg', '70_phone', '80_car', '00_computer', '90_vg']","['00_car', '80_computer', '70_vg', '80_vg']","['10_phone', '10_computer', '90_phone', '10_car', '10_vg', '00_phone', '00_vg', '70_phone', '80_computer', '80_car', '00_computer', '90_vg']",23,20,female,hispanic,democrat,bs,no,0,United States,Florida,every-week,neutral,1980,1982.5,1982.5,1997.27272727273,1995.83333333333
Thomas _1744072706,2,5,"['90vg', '90vg']",1990,False,['90vg'],"['90vg', '80computer']","['80car', '00car', '70computer', '80phone', '00car', '80phone', '70phone', '10computer', '80phone']",12,2,"['90_computer', '90_computer', '80_car', '90_car', '70_phone', '00_phone', '90_vg', '10_vg', '70_car', '70_vg', '10_computer', '90_computer', '80_computer', '00_computer']","['90_computer', '80_car', '90_car', '70_phone', '00_phone', '10_vg', '70_vg', '10_computer', '80_computer', '00_computer']","['90_vg', '70_car']","['90_computer', '80_car', '90_car', '70_phone', '00_phone', '10_vg', '70_vg', '10_computer', '80_computer', '00_computer']",9,29,male,white,democrat,bs,yes,0,Usa,De,every-week,neutral,1990,1990,1985,1990,1990
doubleplusungood_1744073279,3,8,"['00phone', '80phone']",1980,False,[],"['80vg', '90vg', '70phone']","['00phone', '80phone', '00car', '80phone', '90car', '80computer', '80car', '70vg', '70computer', '80phone', '00car', '80phone', '00phone', '80car']",16,3,"['80_computer', '80_vg', '90_vg', '00_car', '80_phone', '90_computer', '80_phone', '70_car', '80_car', '80_vg', '70_computer', '70_vg', '70_vg', '70_car', '70_phone', '10_car', '10_computer', '70_car', '70_vg']","['80_vg', '90_vg', '80_phone', '90_computer', '70_car', '80_car', '70_vg', '70_phone', '10_car', '10_computer']","['80_computer', '00_car', '70_computer']","['80_vg', '90_vg', '80_phone', '90_computer', '70_car', '80_car', '70_vg', '70_phone', '10_car', '10_computer']",24,41,female,white,democrat,high-school,yes,0,USA,FL,every-week,neutral,1990,0,1980,1985,1985
Nunya_1744074463,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Ranchrider_1744074537,2,14,"['00phone', '10car']",1990,False,[],"['90vg', '00vg']","['00phone', '10car', '70car', '00phone', '70vg', '70phone', '80phone', '00computer', '00phone', '10vg', '00computer', '00phone', '70phone', '70computer', '00computer', '70car', '70vg', '00phone', '70car']",11,6,"['00_vg', '10_computer', '70_car', '70_car', '80_vg', '80_vg', '80_vg', '90_phone', '10_computer', '90_vg', '00_car', '00_vg', '80_phone', '10_car', '00_vg', '80_vg', '80_phone']","['00_vg', '70_car', '90_phone', '90_vg', '10_car']","['10_computer', '80_vg', '00_car', '80_phone']","['00_vg', '70_car', '80_vg', '90_phone', '90_vg', '10_car', '80_phone']",0,,,,,,,,,,,,2005,0,1995,1992,1988.57142857143
jun_1744076501,4,11,"['10car', '80car']",2000,False,[],"['00vg', '00computer', '10car', '70car']","['80car', '10phone', '10vg', '70vg', '80car', '70phone', '10vg', '10phone', '90computer', '80car', '00car', '70vg', '70phone', '90computer', '10vg', '10phone', '80car']",0,0,[],[],[],[],0,,,,,,,,,,,,1995,0,1995,0,0
Jacksonville Resident_1744081724,5,15,"['90car', '00vg']",2010,False,[],"['10vg', '10computer', '90phone', '90computer', '70vg']","['90car', '00vg', '00car', '70computer', '70phone', '00vg', '70computer', '90car', '00vg', '10phone', '00car', '70phone', '70phone', '00phone', '00phone', '10phone', '00car', '10phone', '00car', '00vg', '90car']",23,4,"['80_computer', '70_computer', '70_vg', '70_vg', '80_computer', '70_vg', '10_phone', '10_car', '00_vg', '90_phone', '90_computer', '90_car', '70_car', '80_vg', '90_phone', '90_vg', '70_car', '80_computer', '80_car', '00_computer', '90_phone', '70_phone', '00_phone', '80_phone', '80_phone', '00_phone', '10_computer']","['80_computer', '70_computer', '70_vg', '10_phone', '10_car', '00_vg', '90_computer', '90_car', '70_car', '80_vg', '90_vg', '70_phone', '00_phone', '80_phone']","['90_phone', '80_car', '00_computer', '10_computer']","['80_computer', '70_computer', '70_vg', '10_phone', '10_car', '00_vg', '90_computer', '90_car', '70_car', '80_vg', '90_phone', '90_vg', '70_phone', '00_phone', '80_phone']",5,34,male,native-american,libertarian,advanced-degree,yes,0,USA,FL,every-day,bad,1995,0,1994,1986.42857142857,1986.66666666667
Minthara _1744082306,1,8,"['10vg', '70phone']",1980,False,[],['80phone'],"['10vg', '70phone', '70vg', '80computer', '90vg', '00vg', '90vg', '10vg', '90computer', '10computer', '90car', '90computer', '70computer']",0,0,[],[],[],[],0,,,,,,,,,,,,1990,0,1980,0,0
Judy_1744099700,3,2,"['10computer', '10computer']",2010,False,"['10computer', '80vg']","['10computer', '80vg', '80car']","['00car', '70computer', '70phone']",9,4,"['70_car', '10_phone', '70_vg', '00_car', '70_car', '70_computer', '00_vg', '70_vg', '90_car', '10_car', '10_vg', '70_vg', '70_computer']","['70_car', '70_vg', '00_car', '70_computer', '00_vg']","['10_phone', '90_car', '10_car', '10_vg']","['70_car', '70_vg', '00_car', '70_computer', '00_vg']",30,49,female,white,republican,bs,yes,2,Usa,Fl,never,neutral,2010,1995,1990,1982,1982
Cincin _1744113656,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
lemonshibe_1744125861,2,13,"['10vg', '10vg']",2010,False,['10vg'],"['10vg', '80phone']","['70computer', '10car', '00computer', '10computer', '80car', '00computer', '70computer', '00phone', '10car', '00computer', '90phone', '70phone', '70vg', '90vg', '00phone', '10car', '90vg', '10computer', '70phone', '70computer', '90phone', '70computer']",19,1,"['70_computer', '90_computer', '70_car', '80_phone', '00_phone', '10_car', '00_phone', '10_vg', '10_vg', '10_phone', '70_vg', '70_car', '00_phone', '70_car', '10_vg', '80_computer', '70_computer', '70_computer', '80_vg', '10_phone']","['70_computer', '70_car', '80_phone', '00_phone', '10_car', '10_vg', '10_phone', '70_vg', '80_computer', '80_vg']",['90_computer'],"['70_computer', '70_car', '80_phone', '00_phone', '10_car', '10_vg', '10_phone', '70_vg', '80_computer', '80_vg']",19,29,female,mixed,other,advanced-degree,yes,0,United States,Pennsylvania,every-year,bad,2010,2010,1995,1988,1988
Jay_1744127493,4,5,"['80phone', '70computer']",1990,False,[],"['90phone', '10phone', '90car', '70phone']","['80phone', '70computer', '00vg', '90computer', '90computer', '10car', '10vg']",14,5,"['90_vg', '90_computer', '80_car', '80_phone', '90_car', '10_phone', '10_computer', '10_car', '00_car', '00_phone', '10_computer', '80_car', '80_computer', '00_computer', '90_computer', '80_vg', '00_vg', '80_car', '00_computer']","['80_car', '80_phone', '10_phone', '10_computer', '10_car', '00_car', '00_phone', '80_computer', '00_computer', '80_vg', '00_vg']","['90_vg', '90_computer', '90_car']","['80_car', '80_phone', '10_phone', '10_computer', '10_car', '00_car', '00_phone', '80_computer', '00_computer', '80_vg', '00_vg']",29,32,female,white,other,bs,no,0,Usa,Fl,every-month,good,1975,0,1990,1995.45454545455,1995.45454545455
Jesse_1744132368,4,8,"['10computer', '10computer']",2010,False,['10computer'],"['10computer', '10car', '90phone', '90vg']","['00vg', '70phone', '10vg', '00phone', '10phone', '00vg', '70car', '70phone', '80car', '70car', '80car', '10phone', '10vg']",17,1,"['70_computer', '10_computer', '10_computer', '00_computer', '10_car', '70_phone', '70_phone', '10_computer', '10_phone', '90_car', '00_phone', '80_car', '10_car', '80_computer', '10_car', '80_car', '00_computer', '00_computer']","['70_computer', '10_computer', '00_computer', '10_car', '70_phone', '10_phone', '90_car', '80_car', '80_computer']",['00_phone'],"['70_computer', '10_computer', '00_computer', '10_car', '70_phone', '10_phone', '90_car', '80_car', '80_computer']",17,29,male,white,other,advanced-degree,no,0,United States ,Florida,every-week,very-good,2010,2010,2000,1991.11111111111,1991.11111111111
Mj_1744149406,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Michael_1744150986,4,5,"['70computer', '70computer']",1970,False,"['70computer', '10vg']","['70computer', '10vg', '00car', '10phone']","['90phone', '80car', '10computer', '80car', '90car', '80car', '00vg', '80car', '10computer']",16,1,"['80_car', '00_car', '00_vg', '80_computer', '00_phone', '70_phone', '00_phone', '10_vg', '70_vg', '70_vg', '10_car', '90_phone', '00_phone', '90_vg', '80_car', '80_computer', '10_vg']","['80_car', '00_car', '00_vg', '00_phone', '70_phone', '10_vg', '70_vg', '10_car', '90_phone', '90_vg']",['80_computer'],"['80_car', '00_car', '00_vg', '00_phone', '70_phone', '10_vg', '70_vg', '10_car', '90_phone', '90_vg', '80_computer']",27,48,male,white,libertarian,bs,yes,3,United States,FL,every-month,neutral,1970,1990,1997.5,1992,1990.90909090909
Jack_1744158860,2,12,"['80vg', '80computer']",1980,False,[],"['80vg', '80computer']","['90vg', '00car', '90phone', '70phone', '00car', '00phone', '00phone', '90phone', '90car', '00car', '00computer', '70phone', '70car', '90vg', '00vg', '00phone', '00vg', '90vg', '80car', '70car']",26,4,"['90_computer', '70_computer', '80_car', '10_car', '70_vg', '90_computer', '70_vg', '90_vg', '00_computer', '10_phone', '80_vg', '70_vg', '70_phone', '10_vg', '70_car', '10_phone', '70_computer', '00_car', '90_vg', '00_computer', '90_car', '90_vg', '00_computer', '00_car', '10_vg', '00_phone', '70_car', '80_computer', '10_car', '80_car']","['90_computer', '70_computer', '10_car', '70_vg', '90_vg', '00_computer', '10_phone', '70_phone', '10_vg', '70_car', '00_car', '00_phone']","['80_car', '80_vg', '90_car', '80_computer']","['90_computer', '70_computer', '10_car', '70_vg', '90_vg', '00_computer', '10_phone', '70_phone', '10_vg', '70_car', '00_car', '00_phone', '80_car']",23,26,male,asian,democrat,advanced-degree,no,0,USA,Philadelphia,every-month,good,1980,0,1980,1990.83333333333,1990
Blake_1744161475,1,7,"['00phone', '90car']",1980,False,[],['80car'],"['00phone', '90car', '00phone', '70vg', '90car', '90computer', '90vg', '00phone', '70computer', '90computer', '70vg', '90vg', '70vg']",20,3,"['90_car', '70_vg', '00_car', '80_car', '10_computer', '10_phone', '00_computer', '10_vg', '80_phone', '10_car', '90_phone', '00_vg', '70_computer', '90_computer', '10_car', '70_vg', '80_vg', '90_car', '80_phone', '70_vg', '80_computer', '70_phone', '10_car']","['90_car', '70_vg', '00_car', '10_computer', '10_phone', '00_computer', '10_vg', '80_phone', '10_car', '00_vg', '70_computer', '90_computer', '80_vg', '80_computer', '70_phone']","['80_car', '90_phone']","['90_car', '70_vg', '00_car', '10_computer', '10_phone', '00_computer', '10_vg', '80_phone', '10_car', '00_vg', '70_computer', '90_computer', '80_vg', '80_computer', '70_phone']",30,27,male,white,other,bs,no,0,USA,FL,every-day,good,1995,0,1980,1991.33333333333,1991.33333333333
Turd Ferguson_1744163156,3,5,"['70computer', '70computer']",1970,False,"['70computer', '70car', '00vg']","['70computer', '70car', '00vg']","['70phone', '80car', '70vg', '10phone', '10vg', '80car', '10computer', '80phone', '90phone', '10car']",13,3,"['80_vg', '00_car', '80_car', '90_vg', '10_car', '10_car', '00_phone', '70_computer', '80_computer', '90_computer', '80_vg', '90_phone', '90_vg', '90_computer', '80_car', '80_computer']","['00_car', '90_vg', '10_car', '00_phone', '70_computer', '80_computer', '90_phone']","['80_vg', '80_car', '90_computer']","['00_car', '90_vg', '10_car', '00_phone', '70_computer', '80_computer', '80_vg', '90_phone', '90_computer', '80_car']",20,55,male,white,other,bs,yes,2,Merica,FL,every-month,good,1970,1980,1980,1991.42857142857,1989
test_1744163661,3,10,"['80computer', '80computer']",1980,False,"['80computer', '70vg']","['80computer', '70vg', '10car']","['00phone', '80vg', '80car', '90phone', '10computer', '70computer', '80vg', '00phone', '80vg', '90computer', '10computer', '80phone', '00phone', '80phone', '80car', '70phone', '70car', '70computer', '00vg', '70computer']",11,7,"['70_car', '10_vg', '00_car', '70_phone', '10_vg', '80_vg', '70_phone', '90_computer', '10_car', '00_computer', '10_phone', '10_car', '10_car', '10_computer', '70_phone', '10_phone', '70_computer', '70_phone']","['70_car', '00_car', '70_phone', '80_vg', '10_car', '10_phone', '10_computer', '70_computer']","['10_vg', '90_computer', '00_computer']","['70_car', '00_car', '70_phone', '80_vg', '10_car', '10_phone', '10_computer', '70_computer']",0,,,,,,,,,,,,1980,1975,1986.66666666667,1990,1990
Nik_1744207395,5,6,"['10vg', '10vg']",2010,False,"['10vg', '70vg']","['10vg', '70vg', '00car', '00phone', '80computer']","['10phone', '90computer', '00computer', '90phone', '10computer', '00vg', '70car']",20,2,"['10_computer', '90_computer', '10_phone', '90_phone', '00_computer', '80_phone', '90_phone', '80_vg', '10_car', '70_computer', '90_computer', '70_vg', '10_computer', '90_computer', '90_computer', '80_car', '10_vg', '90_computer', '70_car', '70_vg', '80_car', '00_car']","['90_computer', '10_phone', '90_phone', '00_computer', '80_phone', '80_vg', '10_car', '70_computer', '70_vg', '80_car', '10_vg', '00_car']","['10_computer', '70_car']","['90_computer', '10_phone', '90_phone', '00_computer', '80_phone', '80_vg', '10_car', '70_computer', '70_vg', '10_computer', '80_car', '10_vg', '00_car']",12,28,male,white,democrat,advanced-degree,yes,0,USA,PA,every-month,neutral,2010,1990,1992,1990.83333333333,1992.30769230769
Aaron_1744210546,6,5,"['90phone', '90phone']",1990,False,['90phone'],"['90phone', '10vg', '10car', '70computer', '90vg', '80vg']","['10computer', '80phone', '00vg', '80computer', '70vg', '10computer']",15,3,"['80_phone', '80_phone', '70_vg', '00_phone', '90_phone', '90_vg', '70_car', '10_phone', '70_phone', '70_car', '80_computer', '10_car', '70_phone', '00_computer', '00_vg', '70_phone', '00_vg', '70_phone']","['70_vg', '90_phone', '90_vg', '70_car', '10_phone', '70_phone', '80_computer', '10_car', '00_computer']","['80_phone', '00_phone', '00_vg']","['80_phone', '70_vg', '90_phone', '90_vg', '70_car', '10_phone', '70_phone', '80_computer', '10_car', '00_computer', '00_vg']",14,44,male,white,other,bs,yes,7,United States,Florida,every-week,good,1990,1990,1991.66666666667,1987.77777777778,1988.18181818182
mo_1744223899,2,7,"['90phone', '80vg']",1980,False,[],"['80vg', '80phone']","['90phone', '90phone', '70computer', '90phone', '90car', '00phone', '70computer', '90vg', '90car', '90computer', '10vg', '90car']",15,3,"['90_car', '90_computer', '00_car', '80_car', '00_phone', '10_car', '90_computer', '10_vg', '00_phone', '80_car', '10_vg', '80_car', '00_vg', '80_computer', '00_computer', '90_vg', '90_computer', '10_car']","['90_car', '00_car', '80_car', '00_phone', '10_car', '10_vg', '00_vg', '80_computer', '00_computer', '90_vg']",['90_computer'],"['90_car', '00_car', '80_car', '00_phone', '10_car', '10_vg', '00_vg', '80_computer', '00_computer', '90_vg', '90_computer']",27,56,female,white,other,advanced-degree,no,3,United States,DE,never,very-good,1985,0,1980,1996,1995.45454545455
Rene_1744236721,0,6,"['90phone', '90vg']",,False,[],[],"['90phone', '90vg', '00vg', '90car', '80vg', '90phone', '00vg', '90vg', '00phone', '90computer', '90car', '70car']",0,0,[],[],[],[],0,,,,,,,,,,,,1990,0,0,0,0
